PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Average Inhibition at 13.8 uM,Standard Deviation,Inhibition at 13.8 uM [1],Inhibition at 13.8 uM [2],Inhibition at 13.8 uM [3]
RESULT_TYPE,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,Normalized percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Standard deviation derived from the normalized percent inhibition of the triplicate data for each compound,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.,Percent inhibition of the confirmation screen at a compound concentration of 13.8 micromolar.
RESULT_UNIT,,,,,,,PERCENT,NONE,PERCENT,PERCENT,PERCENT
62,3713531,2998443,Active,21,,,32.34,1.35365,34.0412,32.2339,30.7301
63,3713534,1181730,Active,32,,,47.38,0.387362,47.8327,47.4331,46.8876
64,3713542,2334463,Inactive,15,,,22.25,3.20733,18.6975,26.4667,21.5718
65,3714527,2998840,Active,17,,,26.27,0.749907,26.0007,27.2914,25.5142
66,3714653,2094469,Active,27,,,40.19,1.27466,40.9433,41.2231,38.3901
67,3716158,1219876,Active,51,,,75.74,1.20685,77.3743,75.3488,74.4969
68,3716473,2396077,Active,51,,,76.57,1.14731,76.8079,75.0639,77.8443
69,3716698,2999720,Active,43,,,63.73,2.36284,64.8215,65.9138,60.4454
70,3716980,2532080,Active,43,,,64.8,0.30797,64.4348,64.775,65.188
71,3717518,3000038,Inactive,16,,,23.89,0.344361,23.739,23.5661,24.3676
72,3717751,2099780,Inactive,9,,,13.74,2.13493,15.0483,10.7246,15.434
73,3717861,2408768,Active,25,,,37.6,1.72418,37.6358,39.6922,35.4693
74,3717932,2326513,Inactive,13,,,20.34,0.781361,20.4453,21.2405,19.3353
75,4240549,2141449,Active,21,,,31.67,2.4483,28.2431,32.9855,33.7932
76,4240727,3235799,Active,46,,,68.61,5.5371,75.5997,68.1591,62.0587
77,4240754,3235821,Inactive,14,,,21.34,2.79614,17.6583,21.9257,24.4315
78,4241310,6602960,Active,21,,,31.36,1.35495,32.7199,31.8391,29.5083
79,4242143,678099,Inactive,2,,,3.62,2.11222,1.62174,2.69656,6.54209
80,4242300,794839,Active,24,,,36.1,2.24481,34.4163,39.2711,34.6077
81,4243476,1272394,Active,24,,,36.19,0.265332,36.1694,36.5251,35.8762
82,4244730,3239288,Active,39,,,57.66,1.39886,57.0081,59.6007,56.3642
83,4245308,1510815,Active,61,,,91.18,1.81565,89.0178,91.0746,93.4612
84,4245799,3240226,Inactive,3,,,5.57,1.75374,4.733,8.00877,3.96418
85,4245856,3240275,Active,76,,,112.94,0.0310116,112.897,112.943,112.973
86,4245981,3240381,Inactive,2,,,3.67,0.951708,2.64337,3.42758,4.9367
87,4246595,3240918,Inactive,13,,,20.15,0.904173,21.0947,18.929,20.4133
88,4247980,3242118,Active,40,,,59.64,2.80646,59.1421,56.4738,63.2946
89,4248510,3242578,Inactive,12,,,17.94,1.18716,16.6046,17.7263,19.4889
90,4249628,3243556,Inactive,1,,,1.97,1.69196,4.09204,1.85817,-0.0480809
91,4249805,3243703,Inactive,0,,,-0.7,1.26242,-2.48513,0.186397,0.199286
92,4250338,5771466,Active,22,,,33.79,2.45727,37.0473,31.1108,33.2182
93,4252362,3245923,Active,21,,,31.18,1.23302,32.3642,31.7055,29.4822
94,4254460,974946,Active,16,,,24.94,0.524072,25.6822,24.6018,24.5416
95,4254589,2236915,Inactive,9,,,13.79,1.17787,14.8823,14.3351,12.1554
96,4254632,2221556,Inactive,14,,,21.89,1.24108,21.5539,20.5657,23.5496
97,4257742,1259349,Inactive,12,,,18.59,1.97726,15.9346,20.6779,19.1543
98,4258000,1255527,Active,22,,,33.11,1.71577,32.7855,31.1837,35.3496
99,4258880,2205097,Inactive,14,,,21.68,3.03494,20.0853,25.9308,19.0304
100,4258979,2957415,Inactive,12,,,18,1.60646,16.1588,17.7701,20.0734
101,4259171,2954106,Inactive,11,,,16.42,0.56488,15.7633,17.1424,16.3548
102,4259445,2970668,Inactive,3,,,5.06,1.19234,3.39586,6.10953,5.68788
103,4260292,974019,Active,82,,,121.12,1.22826,119.516,121.356,122.497
104,4260719,749967,Active,32,,,47.87,2.62576,51.5224,45.4728,46.6062
105,4260907,976770,Inactive,7,,,10.4,1.85511,9.12151,13.0247,9.05809
106,4260975,974184,Active,31,,,45.85,0.713155,46.1172,46.5557,44.8721
107,4261086,973892,Active,34,,,51.4,0.487159,50.7196,51.832,51.6498
108,4261640,2931382,Active,62,,,91.61,1.35399,91.7027,93.2263,89.9133
109,4261759,892027,Inactive,5,,,8.69,0.253805,9.03092,8.41929,8.62863
110,4261944,2162626,Active,19,,,28.46,1.27137,29.2601,26.6695,29.4615
111,4262046,842092,Inactive,0,,,1.29,0.947391,1.23192,2.48295,0.164758
112,4262897,701063,Active,57,,,84.53,0.818665,83.4641,84.672,85.4542
113,4262929,967063,Inactive,6,,,9.27,1.44248,8.63304,7.90205,11.2613
114,4263410,1090052,Inactive,10,,,14.91,2.67133,18.1973,11.6541,14.8804
115,4263488,1269615,Inactive,14,,,22.09,2.30568,20.8065,20.1416,25.3311
116,4263512,1081542,Active,37,,,55.9,2.50794,59.0342,52.8947,55.7802
117,4263543,972961,Active,53,,,78.77,0.874868,77.7071,78.7398,79.8497
118,4265275,897033,Active,21,,,31.25,0.602505,30.9194,30.7429,32.1001
119,4265664,2233287,Inactive,10,,,15.28,2.95269,17.6986,11.1184,17.0082
120,4265696,2147095,Inactive,10,,,16.18,3.24858,12.1985,16.178,20.1558
121,7964927,4167655,Active,39,,,57.58,3.75437,52.5278,61.5219,58.6857
122,7965183,5307470,Inactive,14,,,21.19,2.11642,23.3316,21.9206,18.306
123,7966271,5308125,Active,34,,,50.98,2.03257,52.9217,48.1727,51.842
124,7966936,2859649,Inactive,4,,,6.59,0.577126,6.30573,7.39128,6.06428
125,7968146,4301423,Active,31,,,45.72,5.78811,52.7648,45.8028,38.5877
126,7968554,5309470,Active,19,,,29.25,0.840737,29.589,30.062,28.0897
127,7968597,5309497,Inactive,5,,,8.48,3.25331,4.37544,8.74699,12.3314
128,7968677,2607885,Active,63,,,93.56,0.52527,92.8184,93.8929,93.9685
129,7969453,3245460,Inactive,11,,,17.37,0.918918,16.0896,18.2056,17.8122
130,7969574,5045498,Inactive,4,,,7.18,1.33495,6.67978,9.00892,5.85671
131,7969754,5310045,Active,35,,,52.83,1.22368,52.6615,51.4176,54.4013
132,7969905,4349596,Active,17,,,25.19,2.07621,28.0907,23.3353,24.1518
133,7969962,5310093,Inactive,8,,,11.92,1.28456,11.1277,10.9007,13.7321
134,7970244,4129168,Active,24,,,36.63,1.77855,38.6206,34.3045,36.9756
135,7970435,5310218,Inactive,13,,,19.64,1.42823,21.2383,19.8974,17.7695
136,7970977,4155588,Active,27,,,40.63,1.61936,39.6698,39.3019,42.9062
137,7971043,1247280,Active,30,,,44.92,2.35402,48.0758,42.4229,44.2643
138,7971093,3242977,Inactive,6,,,10.16,0.922452,10.9579,8.86327,10.6444
139,7971255,4610985,Inactive,3,,,4.72,0.508372,4.00011,5.07889,5.07816
140,7971432,5084783,Active,19,,,28.72,2.58672,32.1875,28.0089,25.9734
141,7971439,3244006,Inactive,8,,,11.91,2.97328,10.917,8.87243,15.9484
142,7971760,4299391,Inactive,7,,,11.31,1.19912,9.75377,12.6703,11.5134
143,7971763,4079831,Inactive,10,,,15.17,0.957874,15.0425,16.4026,14.0669
144,7971879,2380105,Active,45,,,66.51,3.05773,68.5563,62.1843,68.7794
145,7971880,4162506,Inactive,8,,,12.5,1.89654,14.8559,10.2116,12.4418
146,7972061,2883124,Inactive,4,,,6.09,2.04263,8.97713,4.5515,4.74294
147,7972190,588806,Active,80,,,118.88,0.572926,118.635,119.675,118.338
148,7972425,54697917,Active,26,,,39.66,1.85168,41.9694,39.5693,37.4363
149,7973130,1117945,Active,20,,,29.95,1.24659,31.5977,28.5802,29.684
150,7973868,5310696,Active,24,,,36.38,1.08154,36.3619,37.7081,35.059
151,7973940,2930800,Active,28,,,41.92,2.73384,44.01,43.7006,38.0621
152,7973985,721948,Active,22,,,32.42,0.553144,33.0769,32.4736,31.7245
153,7974323,797776,Inactive,2,,,3.45,1.57321,1.55296,5.40525,3.39352
154,7974587,745008,Active,20,,,30.71,0.297159,31.1005,30.6452,30.381
155,7975091,784809,Active,28,,,41.73,2.93726,45.5716,38.4413,41.1745
156,7975274,1625575,Inactive,0,,,-9.52,3.89359,-11.5472,-4.0782,-12.9489
157,7975350,2863219,Active,20,,,29.74,2.33386,31.5205,31.2628,26.4458
158,7975556,2173303,Active,52,,,77.04,4.18152,82.6499,75.8612,72.6134
159,7976150,2057307,Inactive,6,,,9.81,0.551192,9.58935,9.28079,10.5734
160,7977525,710705,Active,21,,,32.26,2.47704,35.6055,29.6933,31.4683
161,7977740,761471,Inactive,0,,,-1.08,1.86716,-0.103393,0.564482,-3.68785
162,11532890,13356,Inactive,12,,,18.25,1.08746,17.3875,19.7885,17.5889
163,11532949,5311281,Inactive,12,,,19,1.93264,19.0994,16.5796,21.3102
164,14718866,684664,Inactive,8,,,12.63,7.06277,7.78696,7.48415,22.6157
165,14719206,1773311,Inactive,0,,,-0.35,1.50853,-1.64344,1.76316,-1.17984
166,14719315,9549170,Active,32,,,47.78,1.10254,49.1703,46.473,47.7051
167,14720500,744542,Active,46,,,68.61,1.09883,67.0817,69.6097,69.1459
168,14720511,669092,Active,23,,,34.57,3.05483,38.4709,34.2134,31.0131
169,14721667,1442863,Active,35,,,52.46,3.80953,57.2819,52.1451,47.9669
170,14722371,733883,Active,18,,,26.93,2.06256,28.4015,28.3763,24.0136
171,14722695,3149629,Active,34,,,50.37,1.30345,50.9776,48.5616,51.5772
172,14723622,5380406,Active,22,,,32.7,0.626183,32.6134,31.9845,33.5105
173,14723708,1451311,Active,83,,,122.79,0.841659,122.461,123.94,121.957
174,14723748,1442803,Active,84,,,123.85,0.932228,124.226,122.564,124.752
175,14723757,3216472,Active,23,,,34.54,2.04954,37.4306,32.9724,33.2026
176,14723947,728962,Active,28,,,41.47,2.9037,43.7554,43.2869,37.3748
177,14724902,3170258,Active,23,,,34.29,0.840347,33.109,34.8171,34.9579
178,14725252,6059475,Inactive,3,,,5.4,1.71587,5.2059,7.59551,3.40634
179,14725476,6009460,Active,36,,,53.85,1.67772,51.5369,54.5546,55.4616
180,14725477,5759185,Active,47,,,69.25,7.98467,62.4739,64.8193,80.4624
181,14725710,3210707,Active,35,,,51.67,2.20076,48.6033,53.6698,52.7314
182,14727165,9549619,Inactive,4,,,6.17,0.697211,6.98264,6.2576,5.28102
183,14727253,734580,Active,24,,,35.41,2.39216,33.2258,34.2554,38.7361
184,14727582,4180831,Inactive,14,,,21.48,5.47608,28.9485,15.9705,19.5232
185,14727667,901441,Active,28,,,41.65,1.35353,43.5081,40.3189,41.1284
186,14727981,1811199,Active,19,,,29.29,0.503573,29.8102,29.4598,28.6107
187,14728400,683355,Active,26,,,38.93,0.890987,39.193,39.8704,37.735
188,14729464,6404645,Active,24,,,35.59,0.308017,35.158,35.7384,35.8656
189,14729469,6404647,Active,22,,,32.58,1.94767,35.0763,32.3301,30.3248
190,14729523,1472973,Active,72,,,107.52,1.2547,106.485,109.285,106.788
191,14729541,9550006,Active,47,,,70.49,1.03246,69.2367,71.7656,70.4819
192,14729837,1861856,Active,33,,,50,0.686327,49.5971,49.4431,50.9699
193,14729934,1473006,Active,60,,,88.93,1.57074,87.7338,87.8971,91.1445
194,14730280,2199814,Active,28,,,42.09,0.279911,42.0119,41.7918,42.4642
195,14730690,728950,Active,22,,,33.64,1.45792,33.8225,31.7675,35.3243
196,14730721,254021,Active,41,,,61.2,4.64777,57.1746,58.7137,67.7131
197,14730743,4312795,Active,32,,,47.39,0.955814,48.657,46.3502,47.1568
198,14730773,1297339,Inactive,8,,,12.34,1.01751,12.3801,11.0682,13.5594
199,14731011,1307911,Active,29,,,43.43,0.43156,43.9482,42.892,43.4593
200,14731510,2922139,Active,72,,,106.21,1.05637,106.392,104.841,107.411
201,14731547,980159,Active,18,,,27.36,1.3589,28.8845,27.6125,25.5846
202,14732378,721943,Inactive,16,,,24.04,3.90824,18.5472,27.3107,26.2661
203,14732983,4417817,Inactive,8,,,12.07,1.25889,10.5927,13.6685,11.9399
204,14733403,5046151,Active,25,,,37.03,0.272464,37.3962,36.7431,36.9508
205,14733459,3641859,Inactive,7,,,10.92,3.45694,6.36163,14.726,11.686
206,14733460,3451697,Inactive,13,,,20.46,2.14348,23.3945,19.6344,18.341
